coverage,n_retained,rmse_abstain_high_score,rmse_random_abstention,model,dataset,score
0.6,144,0.5505058636701354,0.6004410417696642,utmos,nisqa_test_for,knn
0.5,120,0.570715168452714,0.6048633770021812,utmos,nisqa_test_for,knn
1.0,240,0.6039910494581653,0.6039910494581653,utmos,nisqa_test_for,mos_extremity
0.9,216,0.5954559649694389,0.6043284152491676,utmos,nisqa_test_for,mos_extremity
0.8,192,0.5991000337835647,0.6048590664925956,utmos,nisqa_test_for,mos_extremity
0.7,168,0.6076808518533825,0.6063598986556238,utmos,nisqa_test_for,mos_extremity
0.6,144,0.6352737249112633,0.606660185165662,utmos,nisqa_test_for,mos_extremity
0.5,120,0.6516097477561864,0.6034542171824647,utmos,nisqa_test_for,mos_extremity
1.0,232,1.0224339380142842,1.0224339380142842,utmos,nisqa_test_livetalk,mahalanobis
0.9,209,1.0438593796683489,1.0221639460437044,utmos,nisqa_test_livetalk,mahalanobis
0.8,186,1.067497069778326,1.0237304863856949,utmos,nisqa_test_livetalk,mahalanobis
0.7,162,1.0531761661984107,1.0230867507954966,utmos,nisqa_test_livetalk,mahalanobis
0.6,139,1.0226156729691598,1.021676385309206,utmos,nisqa_test_livetalk,mahalanobis
0.5,116,1.0213813465105896,1.021923153840016,utmos,nisqa_test_livetalk,mahalanobis
1.0,232,1.0224339380142842,1.0224339380142842,utmos,nisqa_test_livetalk,l2
0.9,209,1.0467995278375597,1.0216857985382486,utmos,nisqa_test_livetalk,l2
0.8,186,1.0705698069542808,1.0234058015422667,utmos,nisqa_test_livetalk,l2
0.7,162,1.0992419513912834,1.0212954943751313,utmos,nisqa_test_livetalk,l2
0.6,139,1.103398793752503,1.023412441149549,utmos,nisqa_test_livetalk,l2
0.5,116,1.1249397149002756,1.0168884952394621,utmos,nisqa_test_livetalk,l2
1.0,232,1.0224339380142842,1.0224339380142842,utmos,nisqa_test_livetalk,knn
0.9,209,1.0427238420843385,1.0249187949231853,utmos,nisqa_test_livetalk,knn
0.8,186,1.0378445846507152,1.022411525747775,utmos,nisqa_test_livetalk,knn
0.7,162,1.0264614630323379,1.024601882338001,utmos,nisqa_test_livetalk,knn
0.6,139,1.034434281740637,1.02607763862524,utmos,nisqa_test_livetalk,knn
0.5,116,1.031241940036524,1.0231309323531625,utmos,nisqa_test_livetalk,knn
1.0,232,1.0224339380142842,1.0224339380142842,utmos,nisqa_test_livetalk,mos_extremity
0.9,209,1.0449969858767547,1.0222753594908491,utmos,nisqa_test_livetalk,mos_extremity
0.8,186,1.0705698069542808,1.0220590349721965,utmos,nisqa_test_livetalk,mos_extremity
