metric,model,dataset,point_estimate,ci_lo,ci_hi,n_boot,n_groups
coverage_adaptive,utmos,nisqa_train_live,0.9068627450980392,0.8892156862745098,0.9235294117647059,2000,1020
coverage_delta,utmos,nisqa_train_live,0.00588235294117645,-0.0029411764705882274,0.015686274509803866,2000,1020
srcc,utmos,nisqa_val_sim,0.8270456417958953,0.8127802090269635,0.8388081798645822,2000,2500
rmse,utmos,nisqa_val_sim,0.6738129030763181,0.6540540546222184,0.6949382015946093,2000,2500
pcc,utmos,nisqa_val_sim,0.8279645883410708,0.8143134118458706,0.8395581714695037,2000,2500
coverage_fixed,utmos,nisqa_val_sim,0.9508,0.9424,0.9596,2000,2500
coverage_adaptive,utmos,nisqa_val_sim,0.9408,0.9316,0.9500099999999999,2000,2500
coverage_delta,utmos,nisqa_val_sim,-0.010000000000000009,-0.014800000000000035,-0.005589999999999997,2000,2500
srcc,utmos,nisqa_val_live,0.749089059126412,0.6760161346138777,0.8050093255526656,2000,200
rmse,utmos,nisqa_val_live,0.8515482255677249,0.7786103721763262,0.9257251459338804,2000,200
pcc,utmos,nisqa_val_live,0.6359683154976975,0.5589202837663098,0.7047113031413835,2000,200
coverage_fixed,utmos,nisqa_val_live,0.895,0.85,0.935,2000,200
coverage_adaptive,utmos,nisqa_val_live,0.875,0.8298749999999999,0.92,2000,200
coverage_delta,utmos,nisqa_val_live,-0.020000000000000018,-0.040000000000000036,-0.0050000000000000044,2000,200
srcc,utmos,nisqa_test_for,0.7690400244402625,0.6492046268388357,0.8447564312159099,2000,60
rmse,utmos,nisqa_test_for,0.6039910494581653,0.519746246924079,0.6859315806931234,2000,60
pcc,utmos,nisqa_test_for,0.8011338677264535,0.7233801829292775,0.8605319594066655,2000,60
coverage_fixed,utmos,nisqa_test_for,0.9625,0.9291666666666667,0.9916666666666667,2000,60
coverage_adaptive,utmos,nisqa_test_for,0.95,0.9125,0.9833333333333333,2000,60
coverage_delta,utmos,nisqa_test_for,-0.012500000000000067,-0.025000000000000022,0.0,2000,60
srcc,utmos,nisqa_test_livetalk,0.7734344258519573,0.6660344942185031,0.8458677088275148,2000,58
rmse,utmos,nisqa_test_livetalk,1.0224339380142842,0.9254034492088302,1.113725510943471,2000,58
pcc,utmos,nisqa_test_livetalk,0.7709193799629743,0.6741969917972035,0.8423805850759691,2000,58
coverage_fixed,utmos,nisqa_test_livetalk,0.8017241379310345,0.7241379310344828,0.8663793103448276,2000,58
coverage_adaptive,utmos,nisqa_test_livetalk,0.7801724137931034,0.7068965517241379,0.8491379310344828,2000,58
coverage_delta,utmos,nisqa_test_livetalk,-0.02155172413793105,-0.04741379310344829,0.004310344827586299,2000,58
srcc,utmos,nisqa_test_p501,0.8798610298103627,0.8012567864897799,0.9216706955889721,2000,60
rmse,utmos,nisqa_test_p501,0.6357629618710225,0.5478762585687625,0.7219849789757647,2000,60
pcc,utmos,nisqa_test_p501,0.8538377809093959,0.7893661031514952,0.9011550902724645,2000,60
coverage_fixed,utmos,nisqa_test_p501,0.9833333333333333,0.9583333333333334,1.0,2000,60
coverage_adaptive,utmos,nisqa_test_p501,0.9708333333333333,0.9333333333333333,0.9958333333333333,2000,60
coverage_delta,utmos,nisqa_test_p501,-0.012499999999999956,-0.029166666666666674,0.0,2000,60
mahalanobis_auroc,utmos,nisqa_test_for,0.38493,0.3445774166666667,0.4299992499999999,2000,60
mahalanobis_fpr95,utmos,nisqa_test_for,0.9448,0.9188,0.9668,2000,60
mahalanobis_srcc_ood,utmos,nisqa_test_for,-0.0036502369832809582,-0.17114305112549166,0.170368945817189,2000,60
l2_auroc,utmos,nisqa_test_for,0.47804500000000005,0.4237612499999999,0.5348470833333333,2000,60
l2_fpr95,utmos,nisqa_test_for,0.9448,0.90116,0.9596,2000,60
l2_srcc_ood,utmos,nisqa_test_for,-0.1774466570600184,-0.36123134581322364,0.020476453437891853,2000,60
knn_auroc,utmos,nisqa_test_for,0.41780833333333334,0.3754665833333334,0.46515204166666657,2000,60
knn_fpr95,utmos,nisqa_test_for,0.9268,0.9084,0.956,2000,60
knn_srcc_ood,utmos,nisqa_test_for,0.04198249969617527,-0.13655075821148793,0.22651897385966857,2000,60
mahalanobis_auroc,utmos,nisqa_test_livetalk,0.616996551724138,0.5790619396551724,0.6565141379310344,2000,58
mahalanobis_fpr95,utmos,nisqa_test_livetalk,0.7604,0.6839900000000001,0.8261499999999992,2000,58
mahalanobis_srcc_ood,utmos,nisqa_test_livetalk,-0.10390571393975269,-0.24747676766287216,0.04935153751982433,2000,58
l2_auroc,utmos,nisqa_test_livetalk,0.5207103448275862,0.46376534482758625,0.5781318965517241,2000,58
l2_fpr95,utmos,nisqa_test_livetalk,0.9304,0.8732,0.9532,2000,58
l2_srcc_ood,utmos,nisqa_test_livetalk,-0.32991279846393057,-0.48205305016808553,-0.15495355831907573,2000,58
knn_auroc,utmos,nisqa_test_livetalk,0.6158241379310345,0.5783935344827587,0.6549499568965517,2000,58
knn_fpr95,utmos,nisqa_test_livetalk,0.852,0.8156,0.8884099999999999,2000,58
knn_srcc_ood,utmos,nisqa_test_livetalk,-0.0688492357132286,-0.22117765887172788,0.0774421389649499,2000,58
mahalanobis_auroc,utmos,nisqa_test_p501,0.5347250000000001,0.4841489166666667,0.5851221249999999,2000,60
mahalanobis_fpr95,utmos,nisqa_test_p501,0.8152,0.7824,0.88001,2000,60
mahalanobis_srcc_ood,utmos,nisqa_test_p501,-0.07123387558811783,-0.25028817311796564,0.11216466881545537,2000,60
l2_auroc,utmos,nisqa_test_p501,0.5052,0.4400595,0.5707219166666666,2000,60
l2_fpr95,utmos,nisqa_test_p501,0.9408,0.9088,0.9528,2000,60
l2_srcc_ood,utmos,nisqa_test_p501,-0.25334207191097063,-0.4150287801511981,-0.07441509496016284,2000,60
knn_auroc,utmos,nisqa_test_p501,0.5291216666666666,0.480677125,0.5777785416666668,2000,60
knn_fpr95,utmos,nisqa_test_p501,0.8924,0.8163900000000001,0.9244199999999999,2000,60
knn_srcc_ood,utmos,nisqa_test_p501,-0.05491935623882358,-0.22726812035276425,0.12603798649333967,2000,60
mahalanobis_auroc,utmos,nisqa_val_live,0.629082,0.5951242999999999,0.6620269,2000,200
mahalanobis_fpr95,utmos,nisqa_val_live,0.772,0.724,0.84241,2000,200
mahalanobis_srcc_ood,utmos,nisqa_val_live,-0.11430135753393834,-0.2503611938317265,0.02521305476342134,2000,200
l2_auroc,utmos,nisqa_val_live,0.6728279999999999,0.6395358,0.7041723999999999,2000,200
l2_fpr95,utmos,nisqa_val_live,0.7336,0.67479,0.842,2000,200
l2_srcc_ood,utmos,nisqa_val_live,-0.26823520588014704,-0.40127719201916506,-0.12617291410565298,2000,200
knn_auroc,utmos,nisqa_val_live,0.6371100000000001,0.59792835,0.67411095,2000,200
knn_fpr95,utmos,nisqa_val_live,0.8772,0.7752,0.9292,2000,200
knn_srcc_ood,utmos,nisqa_val_live,-0.03657091427285682,-0.16689483164058272,0.10733671813883558,2000,200
