model,dataset,seed,method,coverage,mean_width,mean_interval_score,delta_coverage,delta_width,delta_interval_score
utmos,nisqa_val_live,20270842,local_residual_normalized_k10,0.765,2.0994739156608455,3.6825358549987732,-0.025000000000000022,-0.186784543430341,0.10486942929381726
utmos,nisqa_val_live,20270842,local_residual_mondrian_k25,0.795,2.2261762368679046,3.502541207075119,0.0050000000000000044,-0.06008222222328197,-0.07512521862983679
utmos,nisqa_val_live,20270842,local_residual_normalized_k25,0.78,2.1427393239193773,3.7170291363026524,-0.010000000000000009,-0.14351913517180925,0.13936271059769645
utmos,nisqa_val_live,20270842,local_residual_mondrian_k50,0.81,2.2149962186813354,3.3359015583992004,0.020000000000000018,-0.07126224040985107,-0.24176486730575553
utmos,nisqa_val_live,20270842,local_residual_normalized_k50,0.79,2.162755870953273,3.5702083157402114,0.0,-0.1235025881379137,-0.007458109964744608
utmos,nisqa_test_for,20270842,mahalanobis_mondrian,0.925,2.3211727758248646,2.6475454688072206,-0.004166666666666652,0.034914316733678064,0.002592039108276545
utmos,nisqa_test_for,20270842,predicted_mos_mondrian,0.95,2.5766570270061493,2.771485279003779,0.02083333333333326,0.29039856791496277,0.12653184930483485
utmos,nisqa_test_for,20270842,mos_extremity_mondrian,0.9375,2.4179394682248434,2.6838731805483502,0.008333333333333304,0.13168100913365688,0.03891975084940613
utmos,nisqa_test_for,20270842,local_residual_mondrian_k10,0.9291666666666667,2.3110613505045574,2.682550537586212,0.0,0.024802891413370887,0.03759710788726789
utmos,nisqa_test_for,20270842,local_residual_normalized_k10,0.9291666666666667,2.3284650161234217,2.7805236975505645,0.0,0.04220655703223519,0.1355702678516204
utmos,nisqa_test_for,20270842,local_residual_mondrian_k25,0.9416666666666667,2.374963985880216,2.700850404302279,0.012499999999999956,0.08870552678902932,0.05589697460333509
utmos,nisqa_test_for,20270842,local_residual_normalized_k25,0.9375,2.3405871345193012,2.693207956808708,0.008333333333333304,0.0543286754281147,0.048254527109763856
utmos,nisqa_test_for,20270842,local_residual_mondrian_k50,0.9291666666666667,2.442764953772227,2.7797304153442384,0.0,0.1565064946810404,0.13477698564529428
utmos,nisqa_test_for,20270842,local_residual_normalized_k50,0.9416666666666667,2.3368694009915987,2.689554486582395,0.012499999999999956,0.050610941900412154,0.04460105688345095
utmos,nisqa_test_livetalk,20270842,mahalanobis_mondrian,0.6810344827586207,2.3676828885900565,4.369544140223799,0.01724137931034475,0.08142442949886997,-0.08227125940651714
utmos,nisqa_test_livetalk,20270842,predicted_mos_mondrian,0.7543103448275862,2.608965883994925,3.896755239059185,0.09051724137931028,0.32270742490373827,-0.5550601605711312
utmos,nisqa_test_livetalk,20270842,mos_extremity_mondrian,0.6982758620689655,2.441439550498436,4.29353784281632,0.03448275862068961,0.15518109140724956,-0.1582775568139967
utmos,nisqa_test_livetalk,20270842,local_residual_mondrian_k10,0.6724137931034483,2.3157484079229422,4.515611603342253,0.008620689655172376,0.029489948831755708,0.06379620371193706
utmos,nisqa_test_livetalk,20270842,local_residual_normalized_k10,0.6896551724137931,2.3498406856633105,4.751493683751653,0.025862068965517238,0.06358222657212398,0.29967828412133635
utmos,nisqa_test_livetalk,20270842,local_residual_mondrian_k25,0.6767241379310345,2.317900730618115,4.33594579429462,0.012931034482758563,0.03164227152692867,-0.11586960533569624
utmos,nisqa_test_livetalk,20270842,local_residual_normalized_k25,0.6681034482758621,2.299490242216915,4.385300200417962,0.004310344827586188,0.01323178312572848,-0.06651519921235405
utmos,nisqa_test_livetalk,20270842,local_residual_mondrian_k50,0.7025862068965517,2.4206753619785966,4.118183181203645,0.0387931034482758,0.13441690288741004,-0.3336322184266711
utmos,nisqa_test_livetalk,20270842,local_residual_normalized_k50,0.6853448275862069,2.30911496448679,4.33072513540703,0.02155172413793094,0.022856505395603577,-0.1210902642232865
utmos,nisqa_test_p501,20270842,mahalanobis_mondrian,0.9333333333333333,2.355496539672216,2.590952122211456,0.008333333333333304,0.06923808058102932,0.02391025821367876
utmos,nisqa_test_p501,20270842,predicted_mos_mondrian,0.9416666666666667,2.3517571200927097,2.621385038892428,0.016666666666666607,0.06549866100152313,0.05434317489465057
utmos,nisqa_test_p501,20270842,mos_extremity_mondrian,0.9333333333333333,2.350844856103261,2.5927974045276643,0.008333333333333304,0.06458639701207458,0.025755540529886822
utmos,nisqa_test_p501,20270842,local_residual_mondrian_k10,0.9125,2.3009975880384443,2.6520950426657994,-0.012500000000000067,0.014739128947257818,0.08505317866802198
utmos,nisqa_test_p501,20270842,local_residual_normalized_k10,0.9,2.300128798290821,2.755835147052523,-0.025000000000000022,0.01387033919963443,0.1887932830547454
utmos,nisqa_test_p501,20270842,local_residual_mondrian_k25,0.9333333333333333,2.2855969846248625,2.508322544892629,0.008333333333333304,-0.0006614744663240302,-0.05871931910514849
utmos,nisqa_test_p501,20270842,local_residual_normalized_k25,0.9166666666666666,2.2270195573303133,2.5563102825007538,-0.008333333333333415,-0.05923890176087321,-0.01073158149702369
utmos,nisqa_test_p501,20270842,local_residual_mondrian_k50,0.9416666666666667,2.31206761598587,2.5550197541713713,0.016666666666666607,0.02580915689468366,-0.012022109826406169
utmos,nisqa_test_p501,20270842,local_residual_normalized_k50,0.9333333333333333,2.2754222025931394,2.5442686806732975,0.008333333333333304,-0.010836256498047092,-0.022773183324479973
utmos,nisqa_val_sim,20270843,mahalanobis_mondrian,0.9264,2.390714050102234,2.787064779090881,0.009600000000000053,0.11667454319000248,0.048677024650573664
utmos,nisqa_val_sim,20270843,predicted_mos_mondrian,0.9152,2.381837692832947,2.750038437461853,-0.0015999999999999348,0.10779818592071555,0.011650683021545483
utmos,nisqa_val_sim,20270843,mos_extremity_mondrian,0.9208,2.3108145370483397,2.742348997116089,0.0040000000000000036,0.03677503013610828,0.003961242675781573
utmos,nisqa_val_sim,20270843,local_residual_mondrian_k10,0.9176,2.22101680393219,2.6730334817886354,0.0008000000000000229,-0.053022702980041636,-0.06535427265167204
utmos,nisqa_val_sim,20270843,local_residual_normalized_k10,0.9072,2.218267162087321,2.753527150333996,-0.009599999999999942,-0.05577234482491056,0.015139395893688512
utmos,nisqa_val_sim,20270843,local_residual_mondrian_k25,0.9168,2.2342737558364867,2.6916531198501588,0.0,-0.03976575107574476,-0.046734634590148705
utmos,nisqa_val_sim,20270843,local_residual_normalized_k25,0.9216,2.228946079590642,2.6884225090068927,0.0048000000000000265,-0.045093427321589274,-0.04996524543341474
utmos,nisqa_val_sim,20270843,local_residual_mondrian_k50,0.9104,2.219365200805664,2.6956633518218993,-0.006399999999999961,-0.05467430610656754,-0.04272440261840815
utmos,nisqa_val_sim,20270843,local_residual_normalized_k50,0.9184,2.226372473366306,2.6599038814959424,0.0016000000000000458,-0.047667033545925275,-0.0784838729443651
utmos,nisqa_train_live,20270843,mahalanobis_mondrian,0.8284313725490197,2.402906909643435,3.333597572177064,0.012745098039215752,0.12886740273120356,0.005009813402213403
utmos,nisqa_train_live,20270843,predicted_mos_mondrian,0.8901960784313725,2.6382364394618016,3.2042198307373946,0.07450980392156858,0.3641969325495702,-0.12436792803745611
utmos,nisqa_train_live,20270843,mos_extremity_mondrian,0.8294117647058824,2.383156975110372,3.311163168327481,0.013725490196078494,0.10911746819814061,-0.01742459044736977
utmos,nisqa_train_live,20270843,local_residual_mondrian_k10,0.8,2.174276495213602,3.5211850575372283,-0.015686274509803866,-0.09976301169862944,0.19259729876237763
utmos,nisqa_train_live,20270843,local_residual_normalized_k10,0.7382352941176471,2.0901267724714208,3.927064349350635,-0.07745098039215681,-0.1839127344408107,0.5984765905757845
utmos,nisqa_train_live,20270843,local_residual_mondrian_k25,0.8098039215686275,2.2164516724792183,3.40542754425722,-0.00588235294117645,-0.057587834433013185,0.07683978548236947
utmos,nisqa_train_live,20270843,local_residual_normalized_k25,0.7990196078431373,2.2007572354199536,3.4624930799455678,-0.016666666666666607,-0.07328227149227784,0.13390532117071707
utmos,nisqa_train_live,20270843,local_residual_mondrian_k50,0.8068627450980392,2.228211590823005,3.4169134214812633,-0.008823529411764675,-0.04582791608922632,0.08832566270641262
utmos,nisqa_train_live,20270843,local_residual_normalized_k50,0.8137254901960784,2.2260081381063546,3.343727259496158,-0.0019607843137254832,-0.048031368805876884,0.015139500721307098
utmos,nisqa_val_live,20270843,mahalanobis_mondrian,0.815,2.3848414254188537,3.60138108253479,0.029999999999999916,0.11080191850662224,0.010028250217437584
utmos,nisqa_val_live,20270843,predicted_mos_mondrian,0.85,2.6523261165618894,3.354758343696594,0.06499999999999995,0.378286609649658,-0.23659448862075827
utmos,nisqa_val_live,20270843,mos_extremity_mondrian,0.79,2.3727109265327453,3.5298485708236695,0.0050000000000000044,0.09867141962051384,-0.06150426149368293
utmos,nisqa_val_live,20270843,local_residual_mondrian_k10,0.75,2.165802516937256,3.7686529779434204,-0.03500000000000003,-0.10823698997497555,0.17730014562606788
utmos,nisqa_val_live,20270843,local_residual_normalized_k10,0.73,2.064610751092601,4.1532301044614615,-0.05500000000000005,-0.20942875581963039,0.561877272144109
utmos,nisqa_val_live,20270843,local_residual_mondrian_k25,0.78,2.2285169529914857,3.576592092514038,-0.0050000000000000044,-0.04552255392074578,-0.014760739803314493
utmos,nisqa_val_live,20270843,local_residual_normalized_k25,0.785,2.2058257207196927,3.6889906268077026,0.0,-0.0682137861925387,0.09763779449035015
utmos,nisqa_val_live,20270843,local_residual_mondrian_k50,0.795,2.2109807300567628,3.6238697576522827,0.010000000000000009,-0.06305877685546868,0.032516925334930225
utmos,nisqa_val_live,20270843,local_residual_normalized_k50,0.79,2.2037589005087237,3.577117573988397,0.0050000000000000044,-0.07028060640350775,-0.014235258328955336
utmos,nisqa_test_for,20270843,mahalanobis_mondrian,0.9375,2.445945911606153,2.758946610490481,0.01666666666666672,0.17190640469392138,0.11746838986873653
utmos,nisqa_test_for,20270843,predicted_mos_mondrian,0.9583333333333334,2.667760721842448,2.8592645446459453,0.03750000000000009,0.3937212149302165,0.21778632402420062
utmos,nisqa_test_for,20270843,mos_extremity_mondrian,0.925,2.310119654734929,2.628937111298243,0.004166666666666763,0.03608014782269775,-0.012541109323501498
utmos,nisqa_test_for,20270843,local_residual_mondrian_k10,0.9208333333333333,2.212566695610682,2.610288204749425,0.0,-0.061472811301549246,-0.03119001587231951
utmos,nisqa_test_for,20270843,local_residual_normalized_k10,0.8916666666666667,2.1684406374374436,2.6911858914845834,-0.029166666666666563,-0.1055988694747878,0.04970767086283878
utmos,nisqa_test_for,20270843,local_residual_mondrian_k25,0.9375,2.3115142633517585,2.6995605478684106,0.01666666666666672,0.037474756439527024,0.058082327246665955
utmos,nisqa_test_for,20270843,local_residual_normalized_k25,0.9375,2.310837096740362,2.699224438664753,0.01666666666666672,0.03679758982813075,0.05774621804300839
utmos,nisqa_test_for,20270843,local_residual_mondrian_k50,0.9375,2.3479321161905924,2.7194593211015063,0.01666666666666672,0.07389260927836094,0.0779811004797617
utmos,nisqa_test_for,20270843,local_residual_normalized_k50,0.9333333333333333,2.316734952415748,2.649343520682259,0.012500000000000067,0.04269544550351645,0.007865300060514446
utmos,nisqa_test_livetalk,20270843,mahalanobis_mondrian,0.7025862068965517,2.367105604245745,4.377341082383847,0.0387931034482758,0.09306609733351356,-0.1033363249795185
utmos,nisqa_test_livetalk,20270843,predicted_mos_mondrian,0.7887931034482759,2.6878100962474427,3.7545924577219734,0.125,0.41377058933521127,-0.7260849496413919
utmos,nisqa_test_livetalk,20270843,mos_extremity_mondrian,0.6724137931034483,2.3302436861498603,4.374633036810776,0.008620689655172376,0.05620417923762888,-0.1060443705525893
utmos,nisqa_test_livetalk,20270843,local_residual_mondrian_k10,0.6422413793103449,2.165959927542456,4.928039022560777,-0.02155172413793105,-0.1080795793697753,0.447361615197412
