model,method,aggregation,n_seeds,mean_delta_coverage,mean_delta_width,mean_delta_interval_score,std_delta_interval_score,min_delta_interval_score,max_delta_interval_score,fraction_improved,dataset
nisqa,local_residual_normalized_k25,per_dataset,20,-0.00020000000000000017,-0.30601893539916275,-0.3061650346322876,0.05032522039691019,-0.3961922492419965,-0.19670308074046616,1.0,nisqa_val_sim
nisqa,local_residual_mondrian_k50,per_dataset,20,0.001919999999999994,-0.27576886062622075,-0.2961793448448181,0.04005418284849752,-0.36521414756774906,-0.21728317794799823,1.0,nisqa_val_sim
nisqa,local_residual_normalized_k50,per_dataset,20,-0.0003199999999999981,-0.31900631149440334,-0.3270098861946612,0.04072306831368571,-0.38399654719245957,-0.227055075400584,1.0,nisqa_val_sim
nisqa,mahalanobis_mondrian,per_dataset,20,-0.03519607843137258,-0.6255597123328377,-0.4712741402434368,0.07684487594200877,-0.6132498280674805,-0.32349457086301303,1.0,nisqa_train_live
nisqa,predicted_mos_mondrian,per_dataset,20,-0.0046078431372549135,0.09683132504715637,0.12219827356291749,0.06744826036202299,-0.008150059101628582,0.23270978997735403,0.05,nisqa_train_live
nisqa,mos_extremity_mondrian,per_dataset,20,-0.0061764705882353,-0.06426021981473058,-0.03513808003827643,0.05841237832030578,-0.14028398476394965,0.08591138288086553,0.8,nisqa_train_live
nisqa,local_residual_mondrian_k10,per_dataset,20,-0.02500000000000003,-0.5294245148756923,-0.4139536180098851,0.13377918646516834,-0.7049164253122666,-0.2219470575744027,1.0,nisqa_train_live
nisqa,local_residual_normalized_k10,per_dataset,20,-0.048235294117647085,-0.6599703828739693,-0.4518937327702049,0.13826431847544793,-0.7585450586685032,-0.1619238659585318,1.0,nisqa_train_live
nisqa,local_residual_mondrian_k25,per_dataset,20,-0.023333333333333373,-0.5748121853669484,-0.465628135508182,0.11053051381578696,-0.7580454742207245,-0.3345896014980241,1.0,nisqa_train_live
nisqa,local_residual_normalized_k25,per_dataset,20,-0.03480392156862747,-0.7047941324035314,-0.546199920125167,0.11305398570396644,-0.8197581929328015,-0.39910588595645535,1.0,nisqa_train_live
nisqa,local_residual_mondrian_k50,per_dataset,20,-0.025784313725490227,-0.6191669080771653,-0.5023980359236397,0.10811592459882471,-0.7392461173674638,-0.3579485795077155,1.0,nisqa_train_live
nisqa,local_residual_normalized_k50,per_dataset,20,-0.028627450980392183,-0.6941063644541877,-0.5623035044338593,0.09517233608852946,-0.8030491420239838,-0.44565723692822656,1.0,nisqa_train_live
nisqa,mahalanobis_mondrian,per_dataset,20,-0.014000000000000007,-0.6297174179553985,-0.5376750302314759,0.10085685831521544,-0.707839651107788,-0.3586472821235658,1.0,nisqa_val_live
nisqa,predicted_mos_mondrian,per_dataset,20,-0.0005000000000000004,0.1759173431992531,0.18885950118303305,0.07155843971343726,0.07309768676757811,0.3208706653118134,0.0,nisqa_val_live
nisqa,mos_extremity_mondrian,per_dataset,20,-0.0030000000000000027,-0.018943487286567695,-0.00123365151882171,0.05645510244506896,-0.09568314075469964,0.1317537689208983,0.55,nisqa_val_live
nisqa,local_residual_mondrian_k10,per_dataset,20,-0.018500000000000016,-0.4782384030222892,-0.40875875157117836,0.14860527175319818,-0.7640668463706972,-0.22661267995834322,1.0,nisqa_val_live
nisqa,local_residual_normalized_k10,per_dataset,20,-0.03625000000000002,-0.5876154143515798,-0.44133649162468747,0.16667644195440512,-0.8514473065116581,-0.09184683914072345,1.0,nisqa_val_live
nisqa,local_residual_mondrian_k25,per_dataset,20,-0.019250000000000017,-0.5231898244023323,-0.4500097807049751,0.12890142189012777,-0.8226947176456454,-0.28168178796768206,1.0,nisqa_val_live
nisqa,local_residual_normalized_k25,per_dataset,20,-0.026750000000000024,-0.651676534626241,-0.5408703441545452,0.1314399618155201,-0.9057480281794676,-0.3587673377421554,1.0,nisqa_val_live
nisqa,local_residual_mondrian_k50,per_dataset,20,-0.020000000000000018,-0.5721102159619331,-0.48855035179853445,0.13148491530976153,-0.7799370455741883,-0.2932464146614078,1.0,nisqa_val_live
