model,dataset,method,metric,fixed,method_value,method_minus_fixed,ci_lo,ci_hi,n_boot,conditioning
nisqa,nisqa_val_sim,predicted_mos_mondrian,coverage,0.896,0.912,0.016000000000000014,-0.016000000000000014,0.03759999999999997,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,predicted_mos_mondrian,mean_width,2.91591215133667,2.9226411056518553,0.006728954315185387,-0.15830778295993828,0.19405834365844707,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,predicted_mos_mondrian,mean_interval_score,3.551801847457886,3.36848642539978,-0.1833154220581057,-0.2567919135332108,0.004272793068885858,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,mos_extremity_mondrian,coverage,0.896,0.9056,0.009599999999999942,-0.02079999999999993,0.028000000000000025,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,mos_extremity_mondrian,mean_width,2.91591215133667,2.866054936790466,-0.04985721454620373,-0.21529943666934948,0.1604696644067763,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,mos_extremity_mondrian,mean_interval_score,3.551801847457886,3.449202664756775,-0.10259918270111079,-0.1453824210357667,0.0982924529600144,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,local_residual_mondrian_k10,coverage,0.896,0.9144,0.018399999999999972,-0.031200000000000006,0.034399999999999986,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,local_residual_mondrian_k10,mean_width,2.91591215133667,2.8090449771881105,-0.1068671741485594,-0.3578039710569383,-0.01301461420536058,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,local_residual_mondrian_k10,mean_interval_score,3.551801847457886,3.275138216018677,-0.276663631439209,-0.3561195135116581,-0.10195075666904466,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,local_residual_mondrian_k25,coverage,0.896,0.9184,0.022399999999999975,-0.012799999999999923,0.04080000000000006,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,local_residual_mondrian_k25,mean_width,2.91591215133667,2.811879780960083,-0.10403237037658686,-0.3300323210668564,0.04125723027229295,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,local_residual_mondrian_k25,mean_interval_score,3.551801847457886,3.293695819091797,-0.25810602836608876,-0.3381225099229815,-0.10831389754295351,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,local_residual_mondrian_k50,coverage,0.896,0.9208,0.024799999999999933,-0.013620000000000054,0.0464,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,local_residual_mondrian_k50,mean_width,2.91591215133667,2.8391257637023926,-0.07678638763427736,-0.3201428334903715,0.079550757846832,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,local_residual_mondrian_k50,mean_interval_score,3.551801847457886,3.319707735824585,-0.23209411163330085,-0.3167507487297061,-0.07558891317844392,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,local_residual_normalized_k10,coverage,0.896,0.9024,0.006399999999999961,-0.02960000000000007,0.03520000000000001,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,local_residual_normalized_k10,mean_width,2.91591215133667,2.778439603896471,-0.13747254744019877,-0.37940561424867475,0.07216023697224096,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,local_residual_normalized_k10,mean_interval_score,3.551801847457886,3.3652734723518036,-0.18652837510608222,-0.32007036575229575,-0.0434013988904618,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,local_residual_normalized_k25,coverage,0.896,0.9192,0.0232,-0.00880000000000003,0.04800000000000004,2000,fixed_difficulty_estimator
