model,score,calibration_fraction,seed,dataset,calibration_n,evaluation_n,fixed_coverage,fixed_width,fixed_interval_score,adaptive_coverage,adaptive_width,adaptive_interval_score,delta_coverage,delta_width,delta_interval_score
dnsmos,knn,0.3,20270003,nisqa_test_p501,750,240,0.8583333333333333,2.735581874847412,3.2533377508322396,0.8625,2.6785080075263976,3.232579811414083,0.004166666666666763,-0.05707386732101449,-0.020757939418156734
dnsmos,mahalanobis,0.3,20270004,nisqa_val_sim,750,1750,0.908,2.7642812728881836,3.1676217555999755,0.8988571428571429,2.7273074906212944,3.170295477594648,-0.00914285714285712,-0.03697378226688919,0.00267372199467264
dnsmos,mahalanobis,0.3,20270004,nisqa_train_live,750,1020,0.9901960784313726,2.7642812728881836,2.7884847860710296,0.9833333333333333,2.6099245810041243,2.6537902359868966,-0.006862745098039302,-0.15435669188405932,-0.134694550084133
dnsmos,mahalanobis,0.3,20270004,nisqa_val_live,750,200,1.0,2.7642812728881836,2.7642812728881836,0.995,2.6185521161556244,2.6215236461162568,-0.0050000000000000044,-0.14572915673255915,-0.14275762677192683
dnsmos,mahalanobis,0.3,20270004,nisqa_test_for,750,240,0.9,2.7642812728881836,3.2149482369422913,0.8875,2.6639441907405854,3.1581787625948587,-0.012500000000000067,-0.10033708214759818,-0.056769474347432514
dnsmos,mahalanobis,0.3,20270004,nisqa_test_livetalk,750,232,0.9439655172413793,2.7642812728881836,3.034836168946891,0.9353448275862069,2.6100516720064757,2.9753568758224618,-0.008620689655172487,-0.1542296008817079,-0.05947929312442923
dnsmos,mahalanobis,0.3,20270004,nisqa_test_p501,750,240,0.8708333333333333,2.7642812728881836,3.2424151798089347,0.8666666666666667,2.7282536456982296,3.274767471353213,-0.004166666666666652,-0.036027627189954003,0.03235229154427843
dnsmos,l2,0.3,20270004,nisqa_val_sim,750,1750,0.908,2.7642812728881836,3.1676217555999755,0.9045714285714286,2.773410288402012,3.1731541900634768,-0.0034285714285714475,0.009129015513828609,0.005532434463501268
dnsmos,l2,0.3,20270004,nisqa_train_live,750,1020,0.9901960784313726,2.7642812728881836,2.7884847860710296,0.9833333333333333,2.7006660767630035,2.733201758300557,-0.006862745098039302,-0.06361519612518007,-0.05528302777047278
dnsmos,l2,0.3,20270004,nisqa_val_live,750,200,1.0,2.7642812728881836,2.7642812728881836,0.995,2.695372544527054,2.6983440744876863,-0.0050000000000000044,-0.0689087283611296,-0.06593719840049728
dnsmos,l2,0.3,20270004,nisqa_test_for,750,240,0.9,2.7642812728881836,3.2149482369422913,0.9166666666666666,2.779544524351756,3.145392628510793,0.016666666666666607,0.015263251463572214,-0.06955560843149833
dnsmos,l2,0.3,20270004,nisqa_test_livetalk,750,232,0.9439655172413793,2.7642812728881836,3.034836168946891,0.9439655172413793,2.719477649392753,3.005415209408464,0.0,-0.04480362349543077,-0.02942095953842694
dnsmos,l2,0.3,20270004,nisqa_test_p501,750,240,0.8708333333333333,2.7642812728881836,3.2424151798089347,0.875,2.769310341278712,3.190631276369095,0.004166666666666652,0.005029068390528302,-0.05178390343983974
dnsmos,knn,0.3,20270004,nisqa_val_sim,750,1750,0.908,2.7642812728881836,3.1676217555999755,0.9068571428571428,2.7400275136402676,3.164026215553284,-0.0011428571428572232,-0.02425375924791595,-0.003595540046691603
dnsmos,knn,0.3,20270004,nisqa_train_live,750,1020,0.9901960784313726,2.7642812728881836,2.7884847860710296,0.9794117647058823,2.590595757493786,2.636413448230893,-0.010784313725490269,-0.1736855153943977,-0.1520713378401366
dnsmos,knn,0.3,20270004,nisqa_val_live,750,200,1.0,2.7642812728881836,2.7642812728881836,0.995,2.6059423518180846,2.6109908533096315,-0.0050000000000000044,-0.15833892107009895,-0.15329041957855205
dnsmos,knn,0.3,20270004,nisqa_test_for,750,240,0.9,2.7642812728881836,3.2149482369422913,0.8833333333333333,2.6728349218765897,3.16872622470061,-0.01666666666666672,-0.09144635101159393,-0.04622201224168121
