model,score,dataset,n_bins,metric,fixed,adaptive,adaptive_minus_fixed,ci_lo,ci_hi,n_boot
utmos,l2,nisqa_val_live,5,coverage,0.78,0.76,-0.020000000000000018,-0.08040201005025127,0.024512822370327446,2000
utmos,l2,nisqa_val_live,5,width,2.2644686698913574,2.012922930717468,-0.25154573917388934,-0.3662362291629534,-0.10541078894383549,2000
utmos,l2,nisqa_val_live,5,interval_score,3.6024161338806153,3.6250343680381776,0.022618234157562256,-0.2683535323387033,0.3448409221991141,2000
utmos,l2,nisqa_test_for,5,coverage,0.9208333333333333,0.9416666666666667,0.02083333333333337,-0.01666666666666672,0.033333333333333326,2000
utmos,l2,nisqa_test_for,5,width,2.2644686698913574,2.321120136976242,0.056651467084884555,-0.04956397580603755,0.13039574384689329,2000
utmos,l2,nisqa_test_for,5,interval_score,2.639484296242396,2.6867570519447326,0.04727275570233669,-0.09481584285696312,0.22970124344031015,2000
utmos,l2,nisqa_test_livetalk,5,coverage,0.6637931034482759,0.6939655172413793,0.030172413793103425,-0.030172413793103425,0.0818965517241379,2000
utmos,l2,nisqa_test_livetalk,5,width,2.2644686698913574,2.240135190815761,-0.024333479075596465,-0.13076369559456566,0.07356726676225671,2000
utmos,l2,nisqa_test_livetalk,5,interval_score,4.503284384464395,4.310600597282936,-0.1926837871814593,-0.43014464306420297,0.24185575359854172,2000
utmos,l2,nisqa_test_p501,5,coverage,0.9208333333333333,0.9208333333333333,0.0,-0.03749999999999998,0.03749999999999998,2000
utmos,l2,nisqa_test_p501,5,width,2.2644686698913574,2.2033801853656767,-0.06108848452568072,-0.18698588301738114,0.050763710762063714,2000
utmos,l2,nisqa_test_p501,5,interval_score,2.562443067630132,2.480715282758077,-0.08172778487205523,-0.1928008916974064,0.07456969678401945,2000
utmos,knn,nisqa_val_sim,5,coverage,0.9176,0.9192,0.0016000000000000458,-0.020000000000000018,0.010419999999999964,2000
utmos,knn,nisqa_val_sim,5,width,2.2644686698913574,2.3142576499938965,0.04978898010253907,-0.04235104080677039,0.10888071753501877,2000
utmos,knn,nisqa_val_sim,5,interval_score,2.7757657318115236,2.7964836936950683,0.02071796188354469,-0.019034278054237342,0.08751740220069873,2000
utmos,knn,nisqa_train_live,5,coverage,0.8127450980392157,0.8225490196078431,0.009803921568627416,-0.02252748650880531,0.03902439024390236,2000
utmos,knn,nisqa_train_live,5,width,2.2644686698913574,2.3767797652412863,0.11231109534992889,-0.012979767914743668,0.19593750960222397,2000
utmos,knn,nisqa_train_live,5,interval_score,3.336802218474594,3.3059575333314783,-0.03084468514311567,-0.09074156151823455,0.1703258150466005,2000
utmos,knn,nisqa_val_live,5,coverage,0.78,0.81,0.030000000000000027,-0.01005025125628145,0.06499999999999995,2000
utmos,knn,nisqa_val_live,5,width,2.2644686698913574,2.380917959213257,0.11644928932189957,-0.026897714030101914,0.19510806483210946,2000
utmos,knn,nisqa_val_live,5,interval_score,3.6024161338806153,3.537877719402313,-0.06453841447830211,-0.226262510127408,0.19054046487808188,2000
utmos,knn,nisqa_test_for,5,coverage,0.9208333333333333,0.9208333333333333,0.0,-0.033333333333333326,0.01666666666666672,2000
utmos,knn,nisqa_test_for,5,width,2.2644686698913574,2.3103238880634307,0.045855218172073275,-0.07481450393795976,0.12058958577613023,2000
utmos,knn,nisqa_test_for,5,interval_score,2.639484296242396,2.649585102001826,0.010100805759430287,-0.07564059267441428,0.11461780195434877,2000
utmos,knn,nisqa_test_livetalk,5,coverage,0.6637931034482759,0.6767241379310345,0.012931034482758563,-0.04741379310344829,0.06034482758620685,2000
utmos,knn,nisqa_test_livetalk,5,width,2.2644686698913574,2.3174293719489,0.05296070205754244,-0.05857351162824139,0.13853910678419565,2000
utmos,knn,nisqa_test_livetalk,5,interval_score,4.503284384464395,4.514840350068849,0.01155596560445371,-0.18805715153957242,0.4167147646690239,2000
